Formula,Atomic Ratio_sum,Atomic Ratio_max,Atomic Ratio_min,Atomic Ratio_diff,Atomic Number_sum,Atomic Number_max,Atomic Number_min,Atomic Number_diff,Atomic Weight_sum,Atomic Weight_max,Atomic Weight_min,Atomic Weight_diff,Atomic Radius_sum,Atomic Radius_max,Atomic Radius_min,Atomic Radius_diff,EN pauling_sum,EN pauling_max,EN pauling_min,EN pauling_diff,Valence Electron_sum,Valence Electron_max,Valence Electron_min,Valence Electron_diff,Ionization Energy_sum,Ionization Energy_max,Ionization Energy_min,Ionization Energy_diff,ARW_Atomic Number_sum,ARW_Atomic Number_max,ARW_Atomic Number_min,ARW_Atomic Number_diff,ARW_Atomic Weight_sum,ARW_Atomic Weight_max,ARW_Atomic Weight_min,ARW_Atomic Weight_diff,ARW_Atomic Radius_sum,ARW_Atomic Radius_max,ARW_Atomic Radius_min,ARW_Atomic Radius_diff,ARW_EN pauling_sum,ARW_EN pauling_max,ARW_EN pauling_min,ARW_EN pauling_diff,ARW_Valence Electron_sum,ARW_Valence Electron_max,ARW_Valence Electron_min,ARW_Valence Electron_diff,ARW_Ionization Energy_sum,ARW_Ionization Energy_max,ARW_Ionization Energy_min,ARW_Ionization Energy_diff,Temperature (K),Emission energy (nm),Excitation peak (nm)
Ca5Zn4V6O24,39,24,4,20,81,30,8,22,172.39849999999998,65.38,15.999,49.38099999999999,510,180,60,120,7.719999999999999,3.44,1,2.44,25,12,2,10,35.8715952,13.618054,6.1131552,7.504898800000001,550,192,100,92,1151.5349999999999,383.976,200.39000000000001,183.58599999999998,3690,1440,540,900,103.94,82.56,5,77.56,232,144,10,134,435.45299,326.833296,30.565776,296.26752,298,550,350
Ca2Al3O6FCe0.08,12.08,6,0.08,5.92,108,58,8,50,242.17294166300002,140.116,15.999,124.11700000000002,600,185,50,135,11.150000000000002,3.98,1,2.98,20,7,2,5,48.678397600000004,17.42282,5.5386,11.884220000000003,140.64,48,4.64,43.36,287.302298663,95.994,11.209280000000001,84.78472,1159.8,375,14.8,360.2,31.5396,20.64,0.08960000000000001,20.5504,56.16,36,0.16,35.84,129.7578476,81.708324,0.443088,81.265236,298,413,350
Ca2Al3O6FCe0.08Tb0.005,12.085,6,0.005,5.995,173,65,8,57,401.09829166300005,158.92535,15.999,142.92635,775,185,50,135,11.150000000000002,3.98,0,3.98,22,7,2,5,54.5421976,17.42282,5.5386,11.884220000000003,140.96499999999997,48,0.325,47.675,288.096925413,95.994,0.79462675,95.19937325,1160.675,375,0.875,374.125,31.5396,20.64,0,20.64,56.169999999999995,36,0.01,35.99,129.78716659999998,81.708324,0.029319,81.679005,298,413,350
Ca2Al3O6FCe0.08Tb0.01,12.09,6,0.01,5.99,173,65,8,57,401.09829166300005,158.92535,15.999,142.92635,775,185,50,135,11.150000000000002,3.98,0,3.98,22,7,2,5,54.5421976,17.42282,5.5386,11.884220000000003,141.29,48,0.65,47.35,288.891552163,95.994,1.5892535,94.4047465,1161.55,375,1.75,373.25,31.5396,20.64,0,20.64,56.18,36,0.02,35.98,129.8164856,81.708324,0.058638,81.649686,298,413,350
Ca2Al3O6FCe0.08Tb0.03,12.11,6,0.03,5.97,173,65,8,57,401.09829166300005,158.92535,15.999,142.92635,775,185,50,135,11.150000000000002,3.98,0,3.98,22,7,2,5,54.5421976,17.42282,5.5386,11.884220000000003,142.58999999999997,48,1.95,46.05,292.070059163,95.994,4.7677605000000005,91.2262395,1165.05,375,5.25,369.75,31.5396,20.64,0,20.64,56.22,36,0.06,35.94,129.9337616,81.708324,0.17591400000000001,81.53241,298,413,350
Ca2Al3O6FCe0.08Tb0.05,12.13,6,0.05,5.95,173,65,8,57,401.09829166300005,158.92535,15.999,142.92635,775,185,50,135,11.150000000000002,3.98,0,3.98,22,7,2,5,54.5421976,17.42282,5.5386,11.884220000000003,143.89,48,3.25,44.75,295.24856616299996,95.994,7.946267500000001,88.0477325,1168.55,375,8.75,366.25,31.5396,20.64,0,20.64,56.26,36,0.1,35.9,130.0510376,81.708324,0.29319,81.41513400000001,298,413,350
Ca2Al3O6FCe0.08Tb0.1,12.18,6,0.08,5.92,173,65,8,57,401.09829166300005,158.92535,15.999,142.92635,775,185,50,135,11.150000000000002,3.98,0,3.98,22,7,2,5,54.5421976,17.42282,5.5386,11.884220000000003,147.14,48,4.64,43.36,303.194833663,95.994,11.209280000000001,84.78472,1177.3,375,14.8,360.2,31.5396,20.64,0,20.64,56.36,36,0.16,35.84,130.34422759999998,81.708324,0.443088,81.265236,298,413,350
Ca2Al3O6FCe0.08Tb0.2,12.28,6,0.08,5.92,173,65,8,57,401.09829166300005,158.92535,15.999,142.92635,775,185,50,135,11.150000000000002,3.98,0,3.98,22,7,2,5,54.5421976,17.42282,5.5386,11.884220000000003,153.64,48,4.64,43.36,319.087368663,95.994,11.209280000000001,84.78472,1194.8,375,14.8,360.2,31.5396,20.64,0,20.64,56.559999999999995,36,0.16,35.84,130.9306076,81.708324,0.443088,81.265236,298,413,350
LiBa0.99PO4Eu0.01,7,4,0.01,3.99,145,63,3,60,343.203761998,151.964,6.94,145.024,705,215,60,155,7.5,3.44,0,3.44,16,6,1,5,40.378503761000005,13.618054,5.211664,8.406390000000002,106.07,55.44,0.63,54.809999999999995,239.383131998,135.95373,1.51964,134.43409,699.7,240,1.85,238.15,17.8111,13.76,0,13.76,32,24,0.02,23.98,75.56686797100001,54.472216,0.05670385,54.415512150000005,298,470,350
LiBa0.97PO4Eu0.03,7,4,0.03,3.97,145,63,3,60,343.203761998,151.964,6.94,145.024,705,215,60,155,7.5,3.44,0,3.44,16,6,1,5,40.378503761000005,13.618054,5.211664,8.406390000000002,106.21,54.32,1.89,52.43,239.67587199800002,133.20719,4.55892,128.64827,699.0999999999999,240,5.55,234.45,17.7933,13.76,0,13.76,31.999999999999996,24,0.06,23.94,75.576042391,54.472216,0.17011154999999997,54.30210445,298,470,350
LiBa0.95PO4Eu0.05,7,4,0.05,3.95,145,63,3,60,343.203761998,151.964,6.94,145.024,705,215,60,155,7.5,3.44,0,3.44,16,6,1,5,40.378503761000005,13.618054,5.211664,8.406390000000002,106.35,53.199999999999996,3,50.199999999999996,239.96861199799997,130.46065,6.94,123.52064999999999,698.5,240,9.25,230.75,17.7755,13.76,0,13.76,32,24,0.1,23.9,75.585216811,54.472216,0.28351925,54.188696750000005,298,470,350
LiBa0.93PO4Eu0.07,7,4,0.07,3.93,145,63,3,60,343.203761998,151.964,6.94,145.024,705,215,60,155,7.5,3.44,0,3.44,16,6,1,5,40.378503761000005,13.618054,5.211664,8.406390000000002,106.49000000000001,52.080000000000005,3,49.080000000000005,240.261351998,127.71411,6.94,120.77411000000001,697.9000000000001,240,12.950000000000001,227.05,17.7577,13.76,0,13.76,32,24,0.14,23.86,75.594391231,54.472216,0.39692695,54.07528905,298,470,350
LiBa0.91PO4Eu0.09,7,4,0.09,3.91,145,63,3,60,343.203761998,151.964,6.94,145.024,705,215,60,155,7.5,3.44,0,3.44,16,6,1,5,40.378503761000005,13.618054,5.211664,8.406390000000002,106.63000000000001,50.96,3,47.96,240.55409199800002,124.96757000000001,6.94,118.02757000000001,697.3,240,16.65,223.35,17.7399,13.76,0,13.76,32,24,0.18,23.82,75.60356565100001,54.472216,0.5103346499999999,53.961881350000006,298,470,350
Na3Sc2P3O12Dy0.01,20.01,12,0.01,11.99,121,66,8,58,277.418439278,162.5,15.999,146.501,675,180,60,120,9.14,3.44,0.93,2.51,17,6,1,5,41.744356700000004,13.618054,5.1390767,8.4789773,216.66,96,0.66,95.34,445.415409834,191.988,1.625,190.363,1881.75,720,1.75,718.25,53.3722,41.28,0.0122,41.2678,96.02,72,0.02,71.98,223.47630660000002,163.416648,0.0593905,163.3572575,298,575,350
Na3Sc2P3O12Dy0.03,20.03,12,0.03,11.97,121,66,8,58,277.418439278,162.5,15.999,146.501,675,180,60,120,9.14,3.44,0.93,2.51,17,6,1,5,41.744356700000004,13.618054,5.1390767,8.4789773,217.98,96,1.98,94.02,448.665409834,191.988,4.875,187.113,1885.25,720,5.25,714.75,53.3966,41.28,0.0366,41.2434,96.06,72,0.06,71.94,223.5950876,163.416648,0.17817149999999998,163.23847650000002,298,575,350
Na3Sc2P3O12Dy0.05,20.05,12,0.05,11.95,121,66,8,58,277.418439278,162.5,15.999,146.501,675,180,60,120,9.14,3.44,0.93,2.51,17,6,1,5,41.744356700000004,13.618054,5.1390767,8.4789773,219.3,96,3.3000000000000003,92.7,451.915409834,191.988,8.125,183.863,1888.75,720,8.75,711.25,53.421,41.28,0.061,41.219,96.1,72,0.1,71.9,223.7138686,163.416648,0.2969525,163.1196955,298,575,350
