Formula,Atomic Ratio_sum,Atomic Ratio_max,Atomic Ratio_min,Atomic Ratio_diff,Atomic Number_sum,Atomic Number_max,Atomic Number_min,Atomic Number_diff,Atomic Weight_sum,Atomic Weight_max,Atomic Weight_min,Atomic Weight_diff,Atomic Radius_sum,Atomic Radius_max,Atomic Radius_min,Atomic Radius_diff,EN pauling_sum,EN pauling_max,EN pauling_min,EN pauling_diff,Valence Electron_sum,Valence Electron_max,Valence Electron_min,Valence Electron_diff,Ionization Energy_sum,Ionization Energy_max,Ionization Energy_min,Ionization Energy_diff,ARW_Atomic Number_sum,ARW_Atomic Number_max,ARW_Atomic Number_min,ARW_Atomic Number_diff,ARW_Atomic Weight_sum,ARW_Atomic Weight_max,ARW_Atomic Weight_min,ARW_Atomic Weight_diff,ARW_Atomic Radius_sum,ARW_Atomic Radius_max,ARW_Atomic Radius_min,ARW_Atomic Radius_diff,ARW_EN pauling_sum,ARW_EN pauling_max,ARW_EN pauling_min,ARW_EN pauling_diff,ARW_Valence Electron_sum,ARW_Valence Electron_max,ARW_Valence Electron_min,ARW_Valence Electron_diff,ARW_Ionization Energy_sum,ARW_Ionization Energy_max,ARW_Ionization Energy_min,ARW_Ionization Energy_diff,Temperature (K),Excitation source (nm),Emission energy (nm),Decay Time (ns)
Ca3YNaP3O12FCe0.03Mn0.15,21.18,12,0.03,11.97,185,58,8,50,412.998818441,140.116,15.999,124.11700000000002,1075,185,50,135,15.43,3.98,0.93,3.05,33,7,1,6,71.9696699,17.42282,5.1390767,12.283743300000001,265.49,96,1.74,94.26,548.481485037,191.988,4.20348,187.78452,1996.55,720,5.55,714.45,57.2461,41.28,0.033600000000000005,41.2464,105.11,72,0.06,71.94,243.276589,163.416648,0.16615799999999997,163.25049,298,300,405,0.45331834
Ca7MgSi4O16Ce0.04Eu0.07,28.11,16,0.04,15.96,175,63,8,55,400.547,151.964,15.999,135.965,870,185,60,125,8.77,3.44,0,3.44,18,6,2,4,46.7381122,13.618054,5.5386,8.079454000000002,342.73,140,2.32,137.68,689.4171200000001,280.54600000000005,5.604640000000001,274.94136000000003,2830.35,1260,7.4,1252.6,70.9948,55.04,0,55.04,128.22,96,0.08,95.92,301.55238835000006,217.888864,0.221544,217.66732000000002,298,365,440,0.462397998
Ba2YB2O6ClBi0.005,12.005,6,0.005,5.995,208,83,5,78,497.47224000000006,208.9804,10.81,198.1704,800,215,60,155,12.65,3.44,0.89,2.55,26,7,2,5,53.598143,13.618054,5.211664,8.406390000000002,226.415,112,0.41500000000000004,111.585,517.6687420000001,274.654,1.044902,273.609098,1240.8,430,0.8,429.2,30.889499999999998,20.64,0.0095,20.6305,56.025,36,0.025,35.975,127.94900758,81.708324,0.03642758,81.67189642000001,298,336,366,0.522444234
Ba1.8Zn0.2B2O5Ce0.005,9.005,5,0.005,4.995,157,58,5,53,369.632,140.116,10.81,129.306,680,215,60,155,9.14,3.44,0.89,2.55,25,12,2,10,42.060536,13.618054,5.211664,8.406390000000002,157.09,100.8,0.29,100.50999999999999,362.58018000000004,247.1886,0.7005800000000001,246.48802,884.925,387,0.925,386.075,23.2176,17.2,0.005600000000000001,17.194399999999998,42.01,30,0.01,29.99,95.973836,68.09027,0.027693,68.062577,298,360,438,0.580924976
Ba1.8Mg0.2B2O5Ce0.005,9.005,5,0.005,4.995,139,58,5,53,328.557,140.116,10.81,129.306,695,215,60,155,8.8,3.44,0.89,2.55,15,6,2,4,40.312572,13.618054,5.211664,8.406390000000002,153.48999999999998,100.8,0.29,100.50999999999999,354.36518,247.1886,0.7005800000000001,246.48802,887.925,387,0.925,386.075,23.1496,17.2,0.005600000000000001,17.194399999999998,40.01,30,0.01,29.99,95.6242432,68.09027,0.027693,68.062577,298,360,438,0.633468456
Ba0.4Zn1.6B2O5Ce0.005,9.005,5,0.005,4.995,157,58,5,53,369.632,140.116,10.81,129.306,680,215,60,155,9.14,3.44,0.89,2.55,25,12,2,10,42.060536,13.618054,5.211664,8.406390000000002,120.69000000000001,48,0.29,47.71,261.85438000000005,104.608,0.7005800000000001,103.90742,772.925,300,0.925,299.075,24.2816,17.2,0.005600000000000001,17.194399999999998,56.01,30,0.01,29.99,101.829385,68.09027,0.027693,68.062577,298,360,438,0.638489257
Ba1.6Zn0.4B2O5Ce0.005,9.005,5,0.005,4.995,157,58,5,53,369.632,140.116,10.81,129.306,680,215,60,155,9.14,3.44,0.89,2.55,25,12,2,10,42.060536,13.618054,5.211664,8.406390000000002,151.89000000000001,89.60000000000001,0.29,89.31,348.19078,219.72320000000002,0.7005800000000001,219.02262000000002,868.925,344,0.925,343.075,23.3696,17.2,0.005600000000000001,17.194399999999998,44.01,30,0.01,29.99,96.810343,68.09027,0.027693,68.062577,298,360,438,0.655138435
Ba2YB2O6ClBi0.002,12.002,6,0.002,5.998,208,83,5,78,497.47224000000006,208.9804,10.81,198.1704,800,215,60,155,12.65,3.44,0.89,2.55,26,7,2,5,53.598143,13.618054,5.211664,8.406390000000002,226.166,112,0.166,111.834,517.0418008,274.654,0.4179608,274.2360392,1240.32,430,0.32,429.68,30.883799999999997,20.64,0.0038,20.636200000000002,56.01,36,0.01,35.99,127.92715103200001,81.708324,0.014571032000000001,81.693752968,298,336,366,0.670245853
CsGd0.9Mo2O8Eu0.05Dy0.05,12.000000000000002,8,0.05,7.95,298,66,8,58,716.56845196,162.5,15.999,146.501,1005,260,60,200,8.81,3.44,0,3.44,19,6,1,5,42.36362054800001,13.618054,3.893905548,9.724148452000001,267.05,84,3.1500000000000004,80.85,610.04565196,191.9,7.5982,184.30180000000001,1210,480,8.75,471.25,33.771,27.52,0,27.52,63,48,0.1,47.9,133.138485698,108.944432,0.28351925,108.66091275000001,298,295,615,0.689308859
Na3Sc1.54P3O12Ce0.03Tb0.2,19.77,12,0.03,11.97,178,65,8,57,413.959789278,158.92535,15.999,142.92635,860,185,60,125,9.04,3.44,0,3.44,19,6,1,5,47.2077067,13.618054,5.1390767,8.4789773,221.08,96,1.74,94.26,459.099242154,191.988,4.20348,187.78452,1846.95,720,5.55,714.45,52.768,41.28,0,41.28,95.08000000000001,72,0.06,71.94,221.73754870000002,163.416648,0.16615799999999997,163.25049,298,320,542,0.706717782
