Formula,Atomic Ratio_sum,Atomic Ratio_max,Atomic Ratio_min,Atomic Ratio_diff,Atomic Number_sum,Atomic Number_max,Atomic Number_min,Atomic Number_diff,Atomic Weight_sum,Atomic Weight_max,Atomic Weight_min,Atomic Weight_diff,Atomic Radius_sum,Atomic Radius_max,Atomic Radius_min,Atomic Radius_diff,EN pauling_sum,EN pauling_max,EN pauling_min,EN pauling_diff,Valence Electron_sum,Valence Electron_max,Valence Electron_min,Valence Electron_diff,Ionization Energy_sum,Ionization Energy_max,Ionization Energy_min,Ionization Energy_diff,ARW_Atomic Number_sum,ARW_Atomic Number_max,ARW_Atomic Number_min,ARW_Atomic Number_diff,ARW_Atomic Weight_sum,ARW_Atomic Weight_max,ARW_Atomic Weight_min,ARW_Atomic Weight_diff,ARW_Atomic Radius_sum,ARW_Atomic Radius_max,ARW_Atomic Radius_min,ARW_Atomic Radius_diff,ARW_EN pauling_sum,ARW_EN pauling_max,ARW_EN pauling_min,ARW_EN pauling_diff,ARW_Valence Electron_sum,ARW_Valence Electron_max,ARW_Valence Electron_min,ARW_Valence Electron_diff,ARW_Ionization Energy_sum,ARW_Ionization Energy_max,ARW_Ionization Energy_min,ARW_Ionization Energy_diff,Temperature (K),Excitation source (nm),CIE coordinate (Y)
RbVO3,5,3,1,2,68,37,8,29,152.4083,85.4678,15.999,69.4688,430,235,60,175,5.89,3.44,0.82,2.62,12,6,1,5,24.541369,13.618054,4.177128,9.440926000000001,84,37,23,14,184.4063,85.4678,47.997,37.4708,550,235,135,100,12.77,10.32,0.82,9.5,24,18,1,17,51.777477000000005,40.854162,4.177128,36.677034000000006,298,350,0.424
Ba3Sc0.95P3O12Sm0.05,19,12,0.05,11.95,162,62,8,54,379.61566999800004,150.36,15.999,134.36100000000002,720,215,60,155,9.049999999999999,3.44,0.89,2.55,18,6,2,4,41.521603999999996,13.618054,5.211664,8.406390000000002,332.05,168,3.1,164.9,747.116398594,411.981,7.518000000000001,404.46299999999997,1826.25,720,9.25,710.75,51.8705,41.28,0.058499999999999996,41.2215,95.94999999999999,72,0.1,71.9,217.027299,163.416648,0.2821855,163.1344625,298,406,0.424
Ca1.8Gd7.6Si6O26Ce0.05Mn0.1,41.55,26,0.05,25.95,189,64,8,56,436.466044,157.25,15.999,141.251,855,185,60,125,10.21,3.44,1,2.44,23,7,2,5,47.00530620000001,13.618054,5.5386,8.079454000000002,819.8,486.4,2.5,483.9,1864.2240043999998,1195.1,5.4938044,1189.6061955999999,3935.25,1560,9.25,1550.75,111.97099999999999,89.44,0.05600000000000001,89.384,199.6,156,0.1,155.9,461.74196276000004,354.069404,0.27693,353.792474,298,330,0.424
Ca8.8CeP7O28Eu0.04Mn0.16,44.99999999999999,28,0.04,27.96,189,63,8,55,434.068805998,151.964,15.999,135.965,850,185,60,125,9.3,3.44,0,3.44,24,7,2,5,48.8608982,13.618054,5.5386,8.079454000000002,569.52,224,2.52,221.48,1172.4593810259998,447.97200000000004,6.07856,441.89344000000006,4178.799999999999,1680,7.4,1672.6,121.818,96.32,0,96.32,223.8,168,0.08,167.92,515.4629380399999,381.305512,0.2268154,381.0786966,298,350,0.424
GdF3Eu0.03Tb0.02,4.05,3,0.02,2.98,201,65,9,56,487.13775316299996,158.92535,18.998403163,139.926946837,590,185,50,135,5.18,3.98,0,3.98,13,7,2,5,35.106801000000004,17.42282,5.670385,11.752435000000002,94.19,64,1.3,62.7,221.982636489,157.25,3.178507,154.071493,339.05,180,3.5,176.5,13.139999999999999,11.94,0,11.94,23.099999999999998,21,0.04,20.96,58.705643550000005,52.268460000000005,0.117276,52.15118400000001,298,272,0.424
CaLa0.98NbMoO8Dy0.02,12,8,0.02,7.98,234,66,8,58,546.33884,162.5,15.999,146.501,900,195,60,135,10.520000000000001,3.44,1,2.44,24,6,2,4,45.0984392,13.618054,5.5769,8.041154,224.18,64,1.32,62.68,496.3037306,136.1273606,3.25,132.8773606,1144.6,480,3.5,476.5,33.382400000000004,27.52,0.0244,27.4956,63.98,48,0.04,47.96,134.49301020000001,108.944432,0.118781,108.82565100000001,298,351,0.424
CaLa0.95NbMoO8Dy0.05,12,8,0.05,7.95,234,66,8,58,546.33884,162.5,15.999,146.501,900,195,60,135,10.520000000000001,3.44,1,2.44,24,6,2,4,45.0984392,13.618054,5.5769,8.041154,224.45000000000002,64,3.3000000000000003,60.7,497.0115665,131.9601965,8.125,123.8351965,1144,480,8.75,471.25,33.386,27.52,0.061,27.459,63.95,48,0.1,47.9,134.5038747,108.944432,0.2969525,108.6474795,298,351,0.424
Ba9Lu1.3Si6O24Ce0.1Tb0.6,41,24,0.1,23.9,272,71,8,63,655.4191500000001,174.9668,15.999,158.9678,920,215,60,155,8.350000000000001,3.44,0,3.44,18,6,2,4,43.809672,13.618054,5.211664,8.406390000000002,917.0999999999999,504,5.800000000000001,498.2,2125.25265,1235.943,14.011600000000001,1221.9314,4386,1935,18.5,1916.5,103.382,82.56,0,82.56,189.99999999999997,144,0.2,143.8,433.7741423,326.833296,0.55386,326.27943600000003,298,400,0.4246
K0.4Na0.6Sr0.945Eu0.005Tb0.05,1.9999999999999998,0.945,0.005,0.94,196,65,11,54,460.59741928000005,158.92535,22.98976928,135.93558072000002,960,220,175,45,2.7,0.95,0,0.95,8,2,1,1,26.708792440000003,5.8638,4.34066354,1.52313646,53.675,35.91,0.315,35.595,120.940169068,82.8009,0.75982,82.04108,394.675,189,0.925,188.075,1.78375,0.8977499999999999,0,0.8977499999999999,2.9999999999999996,1.89,0.01,1.88,10.522902865,5.381649503999999,0.028351925,5.3532975789999995,298,365,0.425
CaLa0.975NbMoO8Dy0.025,12,8,0.025,7.975,234,66,8,58,546.33884,162.5,15.999,146.501,900,195,60,135,10.520000000000001,3.44,1,2.44,24,6,2,4,45.0984392,13.618054,5.5769,8.041154,224.225,64,1.6500000000000001,62.35,496.42170325,135.43283325000002,4.0625,131.37033325000002,1144.5,480,4.375,475.625,33.383,27.52,0.0305,27.4895,63.974999999999994,48,0.05,47.95,134.49482095,108.944432,0.14847625,108.79595575,298,351,0.425
