Formula,Atomic Ratio_sum,Atomic Ratio_max,Atomic Ratio_min,Atomic Ratio_diff,Atomic Number_sum,Atomic Number_max,Atomic Number_min,Atomic Number_diff,Atomic Weight_sum,Atomic Weight_max,Atomic Weight_min,Atomic Weight_diff,Atomic Radius_sum,Atomic Radius_max,Atomic Radius_min,Atomic Radius_diff,EN pauling_sum,EN pauling_max,EN pauling_min,EN pauling_diff,Valence Electron_sum,Valence Electron_max,Valence Electron_min,Valence Electron_diff,Ionization Energy_sum,Ionization Energy_max,Ionization Energy_min,Ionization Energy_diff,ARW_Atomic Number_sum,ARW_Atomic Number_max,ARW_Atomic Number_min,ARW_Atomic Number_diff,ARW_Atomic Weight_sum,ARW_Atomic Weight_max,ARW_Atomic Weight_min,ARW_Atomic Weight_diff,ARW_Atomic Radius_sum,ARW_Atomic Radius_max,ARW_Atomic Radius_min,ARW_Atomic Radius_diff,ARW_EN pauling_sum,ARW_EN pauling_max,ARW_EN pauling_min,ARW_EN pauling_diff,ARW_Valence Electron_sum,ARW_Valence Electron_max,ARW_Valence Electron_min,ARW_Valence Electron_diff,ARW_Ionization Energy_sum,ARW_Ionization Energy_max,ARW_Ionization Energy_min,ARW_Ionization Energy_diff,Excitation source (nm),T50 (K)
LiScGeO4Cr0.01,7.01,4,0.01,3.99,88,32,3,29,192.521008,72.63,6.94,65.69,630,160,60,100,9.45,3.44,0.98,2.46,20,6,1,5,40.237203761,13.618054,5.391714761,8.226339239000001,88.24,32,0.24,31.76,189.041869,72.63,0.519961,72.110039,671.4,240,1.4000000000000001,238.6,18.1266,13.76,0.0166,13.7434,32.06,24,0.06,23.94,74.39252086100001,54.472216,0.0676651,54.404550900000004,476,343
SrLaGaO4Mn0.002,7.002,4,0.002,3.998,159,57,8,49,367.185514,138.90547,15.999,122.90647000000001,725,200,60,140,8.85,3.44,0.95,2.49,21,7,2,5,38.323141,13.618054,5.5769,8.041154,158.05,57,0.05,56.95,360.354346088,138.90547,0.109876088,138.79559391200002,765.28,240,0.28,239.72,17.6231,13.76,0.0031000000000000003,13.7569,32.014,24,0.014,23.986,71.758153036,54.472216,0.014868036000000001,54.457347964,365,345
LiScGeO4Cr0.01,7.01,4,0.01,3.99,88,32,3,29,192.521008,72.63,6.94,65.69,630,160,60,100,9.45,3.44,0.98,2.46,20,6,1,5,40.237203761,13.618054,5.391714761,8.226339239000001,88.24,32,0.24,31.76,189.041869,72.63,0.519961,72.110039,671.4,240,1.4000000000000001,238.6,18.1266,13.76,0.0166,13.7434,32.06,24,0.06,23.94,74.39252086100001,54.472216,0.0676651,54.404550900000004,476,348
Y2Mo4O15Eu0.1,21.1,15,0.1,14.9,152,63,8,55,352.81884,151.964,15.999,135.965,570,185,60,125,6.82,3.44,0,3.44,17,6,2,4,32.598129,13.618054,5.670385,7.947669000000001,372.3,168,6.300000000000001,161.7,816.79308,383.8,15.1964,368.60360000000003,1858.5,900,18.5,881.5,62.68,51.6,0,51.6,120.2,90,0.2,89.8,245.6420885,204.27081,0.5670385,203.70377150000002,393.5,349
Ca4P2O9Eu0.012,15.012,9,0.012,8.988,106,63,8,55,239.01476199799998,151.964,15.999,135.965,525,185,60,125,6.63,3.44,0,3.44,15,6,2,4,35.8882802,13.618054,5.670385,7.947669000000001,182.756,80,0.756,79.244,368.07409199600005,160.312,1.823568,158.48843200000002,1462.22,720,2.22,717.78,39.34,30.96,0,30.96,72.024,54,0.024,53.976,168.05652342,122.562486,0.06804462,122.49444138000001,460,350
LiScP2O7Cr0.07,11.07,7,0.07,6.93,71,24,3,21,150.86476999799999,51.9961,6.94,45.0561,605,160,60,100,9.629999999999999,3.44,0.98,2.46,21,6,1,5,42.824454761,13.618054,5.391714761,8.226339239000001,111.68,56,1.6800000000000002,54.32,229.47615899599998,111.99300000000001,3.639727,108.35327300000002,934.8,420,9.8,410.2,30.916199999999996,24.08,0.11620000000000001,23.9638,56.42,42,0.42000000000000004,41.58,128.726610461,95.326378,0.47365570000000007,94.85272230000001,450,355
Cs3AlF6Mn0.00183,10.00183,6,0.00183,5.99817,102,55,9,46,233.823437623,132.90545196,18.998403163,113.90704879699999,575,260,50,210,7.930000000000001,3.98,0.79,3.19,18,7,1,6,34.736511948,17.42282,3.893905548,13.528914452000002,232.04575,165,0.04575,164.95425,539.7888499785199,398.71635588,0.10053662052,398.61581925947996,1205.2562,780,0.2562,779.7438,27.8628365,23.88,0.0028365,23.877163499999998,48.01281,42,0.01281,41.98719,122.21800929694001,104.53692000000001,0.01360425294,104.52331574706001,467,355
Ca20Li8Al39N55Eu0.005,122.005,55,0.005,54.995,106,63,3,60,239.9705385,151.964,6.94,145.024,700,185,65,120,6.63,3.04,0,3.04,13,5,1,4,37.695153360999996,14.53413,5.391714761,9.142415238999998,1316.315,507,0.315,506.685,2680.5048215000006,1052.2800015,0.75982,1051.5201815,13210.925,4875,0.925,4874.075,257.83,167.2,0,167.2,440.01,275,0.01,274.99,1198.2472916129998,799.3771499999999,0.028351925,799.3487980749999,450,355
Ca2.91Mo0.2W0.8O6Eu0.09,10,6,0.09,5.91,207,74,8,66,487.8310000000001,183.84,15.999,167.841,705,185,60,125,8.3,3.44,0,3.44,22,6,2,4,40.3580542,13.618054,5.670385,7.947669000000001,179.47,59.2,5.67,53.53,392.5597400000001,147.072,13.67676,133.39524,1037.45,523.8000000000001,16.65,507.1500000000001,25.342,20.64,0,20.64,48,36,0.18,35.82,107.71765028200001,81.708324,0.5103346499999999,81.19798935,365,355
BaLaMgNb0.996O6Mn0.004,10,6,0.004,5.996,199,57,8,49,464.38088400000004,138.90547,15.999,122.90647000000001,905,215,60,155,9.89,3.44,0.89,2.55,25,7,2,5,46.245721,13.618054,5.211664,8.406390000000002,213.936,57,0.1,56.9,489.285966696,138.90547,0.219752176,138.68571782400002,1064.98,360,0.56,359.44,25.5398,20.64,0.006200000000000001,20.6338,48.008,36,0.028,35.972,106.90467367200002,81.708324,0.029736072000000002,81.678587928,360,355
Ca5Zn4V6O24,39,24,4,20,81,30,8,22,172.39849999999998,65.38,15.999,49.38099999999999,510,180,60,120,7.719999999999999,3.44,1,2.44,25,12,2,10,35.8715952,13.618054,6.1131552,7.504898800000001,550,192,100,92,1151.5349999999999,383.976,200.39000000000001,183.58599999999998,3690,1440,540,900,103.94,82.56,5,77.56,232,144,10,134,435.45299,326.833296,30.565776,296.26752,320,358
Ca2La0.95Hf2Al3O12Ce0.05,20,12,0.05,11.95,228,72,8,64,540.5700085000001,178.49,15.999,162.491,900,195,60,135,9.57,3.44,1,2.44,20,6,2,4,43.6575476,13.618054,5.5386,8.079454000000002,376.04999999999995,144,2.9000000000000004,141.1,849.034612,356.98,7.005800000000001,349.9742,1959.5,720,9.25,710.75,51.811,41.28,0.05600000000000001,41.224000000000004,95.94999999999999,72,0.1,71.9,212.8253886,163.416648,0.27693,163.13971800000002,408,360
Ca18.75Li10.5Al39N55Eu0.005,123.255,55,0.005,54.995,106,63,3,60,239.9705385,151.964,6.94,145.024,700,185,65,120,6.63,3.04,0,3.04,13,5,1,4,37.695153360999996,14.53413,5.391714761,9.142415238999998,1298.815,507,0.315,506.685,2647.7573215,1052.2800015,0.75982,1051.5201815,13348.425,4875,0.925,4874.075,259.03,167.2,0,167.2,440.01,275,0.01,274.99,1204.0851345155,799.3771499999999,0.028351925,799.3487980749999,450,360
Ca18Li12Al39N55Eu0.005,124.005,55,0.005,54.995,106,63,3,60,239.9705385,151.964,6.94,145.024,700,185,65,120,6.63,3.04,0,3.04,13,5,1,4,37.695153360999996,14.53413,5.391714761,9.142415238999998,1288.315,507,0.315,506.685,2628.1088215,1052.2800015,0.75982,1051.5201815,13430.925,4875,0.925,4874.075,259.75,167.2,0,167.2,440.01,275,0.01,274.99,1207.587840257,799.3771499999999,0.028351925,799.3487980749999,450,360
Ca2.91Mo0.2W0.8O6Eu0.09,10,6,0.09,5.91,207,74,8,66,487.8310000000001,183.84,15.999,167.841,705,185,60,125,8.3,3.44,0,3.44,22,6,2,4,40.3580542,13.618054,5.670385,7.947669000000001,179.47,59.2,5.67,53.53,392.5597400000001,147.072,13.67676,133.39524,1037.45,523.8000000000001,16.65,507.1500000000001,25.342,20.64,0,20.64,48,36,0.18,35.82,107.71765028200001,81.708324,0.5103346499999999,81.19798935,393,360
LiScP2O7Cr0.01,11.01,7,0.01,6.99,71,24,3,21,150.86476999799999,51.9961,6.94,45.0561,605,160,60,100,9.629999999999999,3.44,0.98,2.46,21,6,1,5,42.824454761,13.618054,5.391714761,8.226339239000001,110.24,56,0.24,55.76,226.35639299599998,111.99300000000001,0.519961,111.47303900000001,926.4,420,1.4000000000000001,418.6,30.816599999999998,24.08,0.0166,24.063399999999998,56.06,42,0.06,41.94,128.320619861,95.326378,0.0676651,95.2587129,450,361
LiScP2O7Cr0.03,11.03,7,0.03,6.97,71,24,3,21,150.86476999799999,51.9961,6.94,45.0561,605,160,60,100,9.629999999999999,3.44,0.98,2.46,21,6,1,5,42.824454761,13.618054,5.391714761,8.226339239000001,110.72,56,0.72,55.28,227.396314996,111.99300000000001,1.559883,110.43311700000001,929.2,420,4.2,415.8,30.8498,24.08,0.0498,24.030199999999997,56.18,42,0.18,41.82,128.455950061,95.326378,0.2029953,95.12338270000001,450,361
LiScP2O7Cr0.05,11.05,7,0.05,6.95,71,24,3,21,150.86476999799999,51.9961,6.94,45.0561,605,160,60,100,9.629999999999999,3.44,0.98,2.46,21,6,1,5,42.824454761,13.618054,5.391714761,8.226339239000001,111.2,56,1.2000000000000002,54.8,228.436236996,111.99300000000001,2.599805,109.393195,932,420,7,413,30.882999999999996,24.08,0.083,23.997,56.3,42,0.30000000000000004,41.7,128.591280261,95.326378,0.33832550000000006,94.98805250000001,450,361
LiScP2O7Cr0.06,11.06,7,0.06,6.94,71,24,3,21,150.86476999799999,51.9961,6.94,45.0561,605,160,60,100,9.629999999999999,3.44,0.98,2.46,21,6,1,5,42.824454761,13.618054,5.391714761,8.226339239000001,111.44,56,1.44,54.56,228.956197996,111.99300000000001,3.119766,108.87323400000001,933.4,420,8.4,411.6,30.899599999999996,24.08,0.0996,23.9804,56.36,42,0.36,41.64,128.658945361,95.326378,0.4059906,94.92038740000001,450,361
LiScP2O7Cr0.09,11.09,7,0.09,6.91,71,24,3,21,150.86476999799999,51.9961,6.94,45.0561,605,160,60,100,9.629999999999999,3.44,0.98,2.46,21,6,1,5,42.824454761,13.618054,5.391714761,8.226339239000001,112.16,56,2.16,53.84,230.516080996,111.99300000000001,4.6796489999999995,107.31335100000001,937.6,420,12.6,407.4,30.949399999999997,24.08,0.14939999999999998,23.9306,56.54,42,0.54,41.46,128.861940661,95.326378,0.6089859,94.71739210000001,450,361
Y5.95WO12Dy0.05,19,12,0.05,11.95,187,74,8,66,451.24484,183.84,15.999,167.841,550,180,60,120,7.579999999999999,3.44,1.22,2.2199999999999998,17,6,2,4,33.638394,13.618054,5.93905,7.679004000000001,405.35,232.05,3.3000000000000003,228.75,912.9427479999999,528.989748,8.125,520.864748,1934.75,1071,8.75,1062.25,50.300000000000004,41.28,0.061,41.219,95.94999999999999,72,0.1,71.9,208.57032750000002,163.416648,0.2969525,163.1196955,345,361
Ba2ZnB2O6Eu0.05,11.05,6,0.05,5.95,162,63,5,58,381.48,151.964,10.81,141.154,680,215,60,155,8.02,3.44,0,3.44,25,12,2,10,42.19232099999999,13.618054,5.211664,8.406390000000002,203.15,112,3.1500000000000004,108.85,465.24620000000004,274.654,7.5982,267.0558,1104.25,430,9.25,420.75,28.15,20.64,0,20.64,58.1,36,0.1,35.9,118.40540825000001,81.708324,0.28351925,81.42480475,393,363
Ca2La0.94Zr2Ga3O12Ce0.06,19.999999999999996,12,0.06,11.94,214,58,8,50,496.04547,140.116,15.999,124.11700000000002,905,195,60,135,9.8,3.44,1,2.44,20,6,2,4,43.479911,13.618054,5.5386,8.079454000000002,366.06,96,3.48,92.52,802.7391018000001,209.16899999999998,8.40696,200.76203999999998,1974.3999999999999,720,11.1,708.9,52.471199999999996,41.28,0.06720000000000001,41.2128,95.94,72,0.12,71.88,212.4832658,163.416648,0.33231599999999994,163.08433200000002,430,363
Sr3Sc3.988O9Ce0.012,16,9,0.012,8.988,125,58,8,50,288.69090800000004,140.116,15.999,124.11700000000002,605,200,60,140,6.87,3.44,0.95,2.49,13,6,2,4,31.4130112,13.618054,5.5386,8.079454000000002,270.444,114,0.6960000000000001,113.304,587.8165531039999,262.86,1.6813920000000002,261.178608,1780.3,638.08,2.22,635.86,39.24712,30.96,0.013440000000000002,30.94656,71.988,54,0.024,53.976,165.88077292,122.562486,0.0664632,122.4960228,425,363
K2Ge4O9Mn0.001,15.001,9,0.001,8.999,84,32,8,24,182.66534399999998,72.63,15.999,56.63099999999999,545,220,60,160,7.819999999999999,3.44,0.82,2.62,18,7,1,6,33.29217054,13.618054,4.34066354,9.27739046,238.025,128,0.025,127.975,512.7625380439999,290.52,0.054938044,290.465061956,1480.14,540,0.14,539.86,40.64155,30.96,0.0015500000000000002,30.95845,72.007,54,0.007,53.993,162.848987098,122.562486,0.007434018000000001,122.55505198200001,450,363
