Formula,Atomic Ratio_sum,Atomic Ratio_max,Atomic Ratio_min,Atomic Ratio_diff,Atomic Number_sum,Atomic Number_max,Atomic Number_min,Atomic Number_diff,Atomic Weight_sum,Atomic Weight_max,Atomic Weight_min,Atomic Weight_diff,Atomic Radius_sum,Atomic Radius_max,Atomic Radius_min,Atomic Radius_diff,EN pauling_sum,EN pauling_max,EN pauling_min,EN pauling_diff,Valence Electron_sum,Valence Electron_max,Valence Electron_min,Valence Electron_diff,Ionization Energy_sum,Ionization Energy_max,Ionization Energy_min,Ionization Energy_diff,ARW_Atomic Number_sum,ARW_Atomic Number_max,ARW_Atomic Number_min,ARW_Atomic Number_diff,ARW_Atomic Weight_sum,ARW_Atomic Weight_max,ARW_Atomic Weight_min,ARW_Atomic Weight_diff,ARW_Atomic Radius_sum,ARW_Atomic Radius_max,ARW_Atomic Radius_min,ARW_Atomic Radius_diff,ARW_EN pauling_sum,ARW_EN pauling_max,ARW_EN pauling_min,ARW_EN pauling_diff,ARW_Valence Electron_sum,ARW_Valence Electron_max,ARW_Valence Electron_min,ARW_Valence Electron_diff,ARW_Ionization Energy_sum,ARW_Ionization Energy_max,ARW_Ionization Energy_min,ARW_Ionization Energy_diff,Temperature (K),Excitation source (nm),IQE
Na2Y2B2O7Ce0.03Tb0.1,13.129999999999999,7,0.03,6.97,186,65,5,60,437.74595927999997,158.92535,10.81,148.11535,865,185,60,125,8.75,3.44,0,3.44,17,6,1,5,44.6748097,13.618054,5.1390767,8.4789773,174.24,78,1.74,76.26,377.50023356,177.81168,4.20348,173.60819999999998,1333.05,420,5.55,414.45,32.493599999999994,24.08,0,24.08,56.260000000000005,42,0.06,41.94,135.38762739999999,95.326378,0.16615799999999997,95.16022000000001,298,366,75.2
BaMgSi4O10Eu0.04,16.04,10,0.04,9.96,153,63,8,55,357.68,151.964,15.999,135.965,720,215,60,155,7.539999999999999,3.44,0,3.44,16,6,2,4,40.298021000000006,13.618054,5.211664,8.406390000000002,206.52,80,2.52,77.48,440.04055999999997,159.99,6.07856,153.91144,1412.4,600,7.4,592.6,44.2,34.4,0,34.4,80.08,60,0.08,59.92,181.8719864,136.18054,0.2268154,135.95372460000002,298,360,75.3
Ba2Y1.76P2O12SiCe0.14Tb0.1,19,12,0.1,11.9,255,65,8,57,600.331951998,158.92535,15.999,142.92635,1025,215,60,155,10.760000000000002,3.44,0,3.44,24,6,2,4,55.087747,13.618054,5.211664,8.406390000000002,335.26,112,6.5,105.5,748.6575773960001,274.654,15.892535000000002,258.761465,1820.2,720,17.5,702.5,51.644,41.28,0,41.28,95.76,72,0.2,71.8,215.2691926,163.416648,0.58638,162.83026800000002,298,365,75.3
Ba2Y1.62P2O12SiCe0.14Tb0.24,19,12,0.14,11.86,255,65,8,57,600.331951998,158.92535,15.999,142.92635,1025,215,60,155,10.760000000000002,3.44,0,3.44,24,6,2,4,55.087747,13.618054,5.211664,8.406390000000002,338.90000000000003,112,8.120000000000001,103.88,758.460308796,274.654,19.616240000000005,255.03776,1819.5,720,25.900000000000002,694.1,51.4732,41.28,0,41.28,95.62,72,0.28,71.72,215.21970819999999,163.416648,0.7754040000000001,162.641244,298,365,75.3
Ca3Gd0.65Ga3O15B4Ce0.05Tb0.3,26,15,0.05,14.95,251,65,5,60,592.90135,158.92535,10.81,148.11535,995,185,60,125,10.61,3.44,0,3.44,20,6,2,4,51.580726,13.618054,5.5386,8.079454000000002,357,120,2.9000000000000004,117.1,769.523905,239.985,7.005800000000001,232.97920000000002,2348.75,900,9.25,890.75,69.026,51.6,0,51.6,118.99999999999999,90,0.1,89.9,279.8336944,204.27081,0.27693,203.99388000000002,298,344,75.5
Ca3Gd0.65Ga3B4O15Ce0.05Tb0.3,26,15,0.05,14.95,251,65,5,60,592.90135,158.92535,10.81,148.11535,995,185,60,125,10.61,3.44,0,3.44,20,6,2,4,51.580726,13.618054,5.5386,8.079454000000002,357,120,2.9000000000000004,117.1,769.523905,239.985,7.005800000000001,232.97920000000002,2348.75,900,9.25,890.75,69.026,51.6,0,51.6,118.99999999999999,90,0.1,89.9,279.8336944,204.27081,0.27693,203.99388000000002,298,344,75.5
Ca3La0.5Ga3O15B4Eu0.5,26,15,0.5,14.5,184,63,5,58,427.47947000000005,151.964,10.81,141.154,835,195,60,135,9.39,3.44,0,3.44,19,6,2,4,45.275814999999994,13.618054,5.5769,8.041154,353,120,20,100,758.062735,239.985,43.24,196.745,2360,900,92.5,807.5,68.74,51.6,0,51.6,119.5,90,1,89,279.4238995,204.27081,2.78845,201.48236,298,397,75.9
Mg0.97Y1.94Al4SiO12Ce0.06Mn0.03,20,12,0.03,11.97,169,58,8,50,379.3304225,140.116,15.999,124.11700000000002,950,185,60,125,12.150000000000002,3.44,1.12,2.32,27,7,2,5,54.59161840000001,13.618054,5.5386,8.079454000000002,253.53,96,0.75,95.25,534.1074349200001,191.988,1.64814132,190.33985868,1840,720,4.2,715.8,53.3712,41.28,0.0465,41.2335,96.08999999999999,72,0.12,71.88,215.54507349,163.416648,0.22302054,163.19362746000002,298,460,75.9
CaSi2N2O2Eu0.02,7.02,2,0.02,1.98,112,63,7,56,250.133,151.964,14.007,137.957,600,185,60,125,9.379999999999999,3.44,0,3.44,19,6,2,4,48.0874072,14.53413,5.670385,8.863745,79.26,28,1.26,26.74,159.29927999999998,56.17,3.03928,53.130720000000004,653.7,220,3.7,216.3,17.759999999999998,6.88,0,6.88,32.04,12,0.04,11.96,78.8342969,29.06826,0.1134077,28.9548523,298,450,76
Mg2Y8Si6O26Ce0.01Tb0.08,42.089999999999996,26,0.01,25.99,196,65,8,57,456.33619,158.92535,15.999,142.92635,860,185,60,125,8.989999999999998,3.44,0,3.44,19,6,2,4,47.035632,13.618054,5.5386,8.079454000000002,633.7800000000001,312,0.58,311.42,1358.455908,711.24672,1.4011600000000002,709.84556,3975.85,1560,1.85,1558.15,113.2312,89.44,0,89.44,208.18,156,0.02,155.98,468.53454200000004,354.069404,0.055386,354.014018,298,324,76
